号ID,政紫亀,刊旋 政紫亀,液去 刊旋政紫亀,刊旋 政紫亀 搾晴,液去 刊旋政紫亀 搾晴,,走艦域呪
号13 ,2,2,2.1,0.007936508,0.008333333,,0.042502952
号14 ,2,4,4.2,0.015873016,0.016666667,,
号15 ,2,6,6.3,0.023809524,0.025,,
号16 ,2,8,8.4,0.031746032,0.033333333,,
号17 ,2,10,10.5,0.03968254,0.041666667,,
号18 ,2,12,12.6,0.047619048,0.05,,
号19 ,2,14,14.7,0.055555556,0.058333333,,
号20 ,2,16,16.8,0.063492063,0.066666667,,
号21 ,2,18,18.9,0.071428571,0.075,,
号22 ,2,20,21,0.079365079,0.083333333,,
号23 ,2,22,23.1,0.087301587,0.091666667,,
号24 ,2,24,25.2,0.095238095,0.1,,
号25 ,2,26,27.3,0.103174603,0.108333333,,
号26 ,2,28,29.4,0.111111111,0.116666667,,
号27 ,2,30,31.5,0.119047619,0.125,,
号28 ,2,32,33.6,0.126984127,0.133333333,,
号29 ,2,34,35.7,0.134920635,0.141666667,,
号30 ,2,36,37.8,0.142857143,0.15,,
号31 ,2,38,39.9,0.150793651,0.158333333,,
号32 ,2,40,42,0.158730159,0.166666667,,
号33 ,2,42,44.1,0.166666667,0.175,,
号34 ,2,44,46.2,0.174603175,0.183333333,,
号35 ,2,46,48.3,0.182539683,0.191666667,,
号36 ,2,48,50.4,0.19047619,0.2,,
号37 ,2,50,52.5,0.198412698,0.208333333,,
号38 ,2,52,54.6,0.206349206,0.216666667,,
号39 ,2,54,56.7,0.214285714,0.225,,
号40 ,2,56,58.8,0.222222222,0.233333333,,
号41 ,2,58,60.9,0.23015873,0.241666667,,
号42 ,2,60,63,0.238095238,0.25,,
号43 ,2,62,65.1,0.246031746,0.258333333,,
号44 ,2,64,67.2,0.253968254,0.266666667,,
号45 ,2,66,69.3,0.261904762,0.275,,
号46 ,2,68,71.4,0.26984127,0.283333333,,
号47 ,2,70,73.5,0.277777778,0.291666667,,
号48 ,2,72,75.6,0.285714286,0.3,,
号49 ,2,74,77.7,0.293650794,0.308333333,,
号50 ,2,76,79.8,0.301587302,0.316666667,,
号51 ,2,78,81.9,0.30952381,0.325,,
号52 ,2,80,84,0.317460317,0.333333333,,
号53 ,2,82,86.1,0.325396825,0.341666667,,
号54 ,2,84,88.2,0.333333333,0.35,,
号55 ,2,86,90.3,0.341269841,0.358333333,,
号56 ,2,88,92.4,0.349206349,0.366666667,,
号57 ,2,90,94.5,0.357142857,0.375,,
号58 ,2,92,96.6,0.365079365,0.383333333,,
号59 ,2,94,98.7,0.373015873,0.391666667,,
号60 ,2,96,100.8,0.380952381,0.4,,
号61 ,2,98,102.9,0.388888889,0.408333333,,
号62 ,2,100,105,0.396825397,0.416666667,,
号63 ,2,102,107.1,0.404761905,0.425,,
号64 ,2,104,109.2,0.412698413,0.433333333,,
号65 ,2,106,111.3,0.420634921,0.441666667,,
号66 ,2,108,113.4,0.428571429,0.45,,
号67 ,2,110,115.5,0.436507937,0.458333333,,
号68 ,2,112,117.6,0.444444444,0.466666667,,
号69 ,2,114,119.7,0.452380952,0.475,,
号70 ,2,116,121.8,0.46031746,0.483333333,,
号71 ,2,118,123.9,0.468253968,0.491666667,,
号72 ,2,120,126,0.476190476,0.5,,
号73 ,2,122,128.1,0.484126984,0.508333333,,
号74 ,2,124,130.2,0.492063492,0.516666667,,
号75 ,2,126,132.3,0.5,0.525,,
号76 ,2,128,134.4,0.507936508,0.533333333,,
号77 ,2,130,136.5,0.515873016,0.541666667,,
号78 ,2,132,138.6,0.523809524,0.55,,
号79 ,2,134,140.7,0.531746032,0.558333333,,
号80 ,2,136,142.8,0.53968254,0.566666667,,
号81 ,2,138,144.9,0.547619048,0.575,,
号82 ,2,140,147,0.555555556,0.583333333,,
号83 ,2,142,149.1,0.563492063,0.591666667,,
号84 ,2,144,151.2,0.571428571,0.6,,
号85 ,2,146,153.3,0.579365079,0.608333333,,
号86 ,2,148,155.4,0.587301587,0.616666667,,
号87 ,2,150,157.5,0.595238095,0.625,,
号88 ,2,152,159.6,0.603174603,0.633333333,,
号89 ,2,154,161.7,0.611111111,0.641666667,,
号90 ,2,156,163.8,0.619047619,0.65,,
号91 ,2,158,165.9,0.626984127,0.658333333,,
号92 ,2,160,168,0.634920635,0.666666667,,
号93 ,2,162,170.1,0.642857143,0.675,,
号94 ,2,164,172.2,0.650793651,0.683333333,,
号95 ,2,166,174.3,0.658730159,0.691666667,,
号96 ,2,168,176.4,0.666666667,0.7,,
号97 ,2,170,178.5,0.674603175,0.708333333,,
号98 ,2,172,180.6,0.682539683,0.716666667,,
号99 ,2,174,182.7,0.69047619,0.725,,
号100 ,2,176,184.8,0.698412698,0.733333333,,
号101 ,2,178,186.9,0.706349206,0.741666667,,
号102 ,2,180,189,0.714285714,0.75,,
号103 ,2,182,191.1,0.722222222,0.758333333,,
号104 ,2,184,193.2,0.73015873,0.766666667,,
号105 ,2,186,195.3,0.738095238,0.775,,
号106 ,2,188,197.4,0.746031746,0.783333333,,
号107 ,2,190,199.5,0.753968254,0.791666667,,
号108 ,2,192,201.6,0.761904762,0.8,,
号109 ,2,194,203.7,0.76984127,0.808333333,,
号110 ,2,196,205.8,0.777777778,0.816666667,,
号111 ,2,198,207.9,0.785714286,0.825,,
号112 ,2,200,210,0.793650794,0.833333333,,
号113 ,2,202,212.1,0.801587302,0.841666667,,
号114 ,2,204,214.2,0.80952381,0.85,,
号115 ,2,206,216.3,0.817460317,0.858333333,,
号116 ,2,208,218.4,0.825396825,0.866666667,,
号117 ,2,210,220.5,0.833333333,0.875,,
号118 ,2,212,222.6,0.841269841,0.883333333,,
号119 ,2,214,224.7,0.849206349,0.891666667,,
号120 ,2,216,226.8,0.857142857,0.9,,
号1 ,3,219,228.9,0.869047619,0.908333333,,
号2 ,3,222,231,0.880952381,0.916666667,,
号3 ,3,225,233.1,0.892857143,0.925,,
号4 ,3,228,235.2,0.904761905,0.933333333,,
号5 ,3,231,237.3,0.916666667,0.941666667,,
号6 ,3,234,239.4,0.928571429,0.95,,
号7 ,3,237,241.5,0.94047619,0.958333333,,
号8 ,3,240,243.6,0.952380952,0.966666667,,
号9 ,3,243,245.7,0.964285714,0.975,,
号10 ,3,246,247.8,0.976190476,0.983333333,,
号11 ,3,249,249.9,0.988095238,0.991666667,,
号12 ,3,252,252,1,1,,
