号ID,政紫亀,刊旋 政紫亀,液去 刊旋政紫亀,刊旋 政紫亀 搾晴,液去 刊旋政紫亀 搾晴,,走艦域呪
号111,0.130601937,0.130601937,0.527121254,0.000917646,0.003703704,,0.423271601
号129,0.130601937,0.261203875,1.054242507,0.001835293,0.007407407,,
号183,0.130601937,0.391805812,1.581363761,0.002752939,0.011111111,,
号102,0.130601937,0.52240775,2.108485015,0.003670585,0.014814815,,
号120,0.130601937,0.653009687,2.635606269,0.004588232,0.018518519,,
号165,0.130601937,0.783611625,3.162727522,0.005505878,0.022222222,,
号138,0.130601937,0.914213562,3.689848776,0.006423524,0.025925926,,
号219,0.130601937,1.0448155,4.21697003,0.007341171,0.02962963,,
号93,0.130601937,1.175417437,4.744091283,0.008258817,0.033333333,,
号174,0.130601937,1.306019375,5.271212537,0.009176463,0.037037037,,
号237,0.130601937,1.436621312,5.798333791,0.01009411,0.040740741,,
号84,0.130601937,1.56722325,6.325455045,0.011011756,0.044444444,,
号147,0.130601937,1.697825187,6.852576298,0.011929402,0.048148148,,
号30,0.130601937,1.828427125,7.379697552,0.012847049,0.051851852,,
号156,0.130601937,1.959029062,7.906818806,0.013764695,0.055555556,,
号48,0.130601937,2.089631,8.43394006,0.014682341,0.059259259,,
号39,0.130601937,2.220232937,8.961061313,0.015599987,0.062962963,,
号228,0.130601937,2.350834875,9.488182567,0.016517634,0.066666667,,
号33,0.154508497,2.505343372,10.01530382,0.017603254,0.07037037,,
号236,0.154508497,2.659851869,10.54242507,0.018688875,0.074074074,,
号218,0.154508497,2.814360366,11.06954633,0.019774496,0.077777778,,
号42,0.154508497,2.968868863,11.59666758,0.020860116,0.081481481,,
号38,0.154508497,3.123377361,12.12378884,0.021945737,0.085185185,,
号29,0.154508497,3.277885858,12.65091009,0.023031357,0.088888889,,
号173,0.154508497,3.432394355,13.17803134,0.024116978,0.092592593,,
号240,0.154508497,3.586902852,13.7051526,0.025202599,0.096296296,,
号186,0.154508497,3.741411349,14.23227385,0.026288219,0.1,,
号182,0.154508497,3.895919847,14.7593951,0.02737384,0.103703704,,
号177,0.154508497,4.050428344,15.28651636,0.02845946,0.107407407,,
号168,0.154508497,4.204936841,15.81363761,0.029545081,0.111111111,,
号123,0.154508497,4.359445338,16.34075887,0.030630702,0.114814815,,
号146,0.154508497,4.513953835,16.86788012,0.031716322,0.118518519,,
号101,0.154508497,4.668462332,17.39500137,0.032801943,0.122222222,,
号96,0.154508497,4.82297083,17.92212263,0.033887563,0.125925926,,
号105,0.154508497,4.977479327,18.44924388,0.034973184,0.12962963,,
号92,0.154508497,5.131987824,18.97636513,0.036058805,0.133333333,,
号137,0.154508497,5.286496321,19.50348639,0.037144425,0.137037037,,
号87,0.154508497,5.441004818,20.03060764,0.038230046,0.140740741,,
号164,0.154508497,5.595513316,20.5577289,0.039315666,0.144444444,,
号110,0.154508497,5.750021813,21.08485015,0.040401287,0.148148148,,
号83,0.154508497,5.90453031,21.6119714,0.041486908,0.151851852,,
号141,0.154508497,6.059038807,22.13909266,0.042572528,0.155555556,,
号222,0.154508497,6.213547304,22.66621391,0.043658149,0.159259259,,
号132,0.154508497,6.368055802,23.19333516,0.044743769,0.162962963,,
号227,0.154508497,6.522564299,23.72045642,0.04582939,0.166666667,,
号128,0.154508497,6.677072796,24.24757767,0.046915011,0.17037037,,
号150,0.154508497,6.831581293,24.77469892,0.048000631,0.174074074,,
号155,0.154508497,6.98608979,25.30182018,0.049086252,0.177777778,,
号114,0.154508497,7.140598287,25.82894143,0.050171872,0.181481481,,
号231,0.154508497,7.295106785,26.35606269,0.051257493,0.185185185,,
号159,0.154508497,7.449615282,26.88318394,0.052343114,0.188888889,,
号51,0.154508497,7.604123779,27.41030519,0.053428734,0.192592593,,
号119,0.154508497,7.758632276,27.93742645,0.054514355,0.196296296,,
号47,0.154508497,7.913140773,28.4645477,0.055599975,0.2,,
号154,0.166666667,8.07980744,28.99166895,0.056771023,0.203703704,,
号28,0.166666667,8.246474107,29.51879021,0.05794207,0.207407407,,
号145,0.166666667,8.413140773,30.04591146,0.059113118,0.211111111,,
号171,0.166666667,8.57980744,30.57303272,0.060284165,0.214814815,,
号45,0.166666667,8.746474107,31.10015397,0.061455212,0.218518519,,
号46,0.166666667,8.913140773,31.62727522,0.06262626,0.222222222,,
号37,0.166666667,9.07980744,32.15439648,0.063797307,0.225925926,,
号225,0.166666667,9.246474107,32.68151773,0.064968354,0.22962963,,
号163,0.166666667,9.413140773,33.20863898,0.066139402,0.233333333,,
号54,0.166666667,9.57980744,33.73576024,0.067310449,0.237037037,,
号36,0.166666667,9.746474107,34.26288149,0.068481496,0.240740741,,
号226,0.166666667,9.913140773,34.79000275,0.069652544,0.244444444,,
号162,0.166666667,10.07980744,35.317124,0.070823591,0.248148148,,
号153,0.166666667,10.24647411,35.84424525,0.071994638,0.251851852,,
号144,0.166666667,10.41314077,36.37136651,0.073165686,0.255555556,,
号135,0.166666667,10.57980744,36.89848776,0.074336733,0.259259259,,
号172,0.166666667,10.74647411,37.42560901,0.075507781,0.262962963,,
号100,0.166666667,10.91314077,37.95273027,0.076678828,0.266666667,,
号217,0.166666667,11.07980744,38.47985152,0.077849875,0.27037037,,
号118,0.166666667,11.24647411,39.00697278,0.079020923,0.274074074,,
号117,0.166666667,11.41314077,39.53409403,0.08019197,0.277777778,,
号126,0.166666667,11.57980744,40.06121528,0.081363017,0.281481481,,
号127,0.166666667,11.74647411,40.58833654,0.082534065,0.285185185,,
号189,0.166666667,11.91314077,41.11545779,0.083705112,0.288888889,,
号109,0.166666667,12.07980744,41.64257904,0.084876159,0.292592593,,
号108,0.166666667,12.24647411,42.1697003,0.086047207,0.296296296,,
号181,0.166666667,12.41314077,42.69682155,0.087218254,0.3,,
号180,0.166666667,12.57980744,43.22394281,0.088389301,0.303703704,,
号234,0.166666667,12.74647411,43.75106406,0.089560349,0.307407407,,
号235,0.166666667,12.91314077,44.27818531,0.090731396,0.311111111,,
号82,0.166666667,13.07980744,44.80530657,0.091902444,0.314814815,,
号243,0.166666667,13.24647411,45.33242782,0.093073491,0.318518519,,
号91,0.166666667,13.41314077,45.85954907,0.094244538,0.322222222,,
号90,0.166666667,13.57980744,46.38667033,0.095415586,0.325925926,,
号136,0.166666667,13.74647411,46.91379158,0.096586633,0.32962963,,
号99,0.166666667,13.91314077,47.44091283,0.09775768,0.333333333,,
号239,0.207106781,14.12024755,47.96803409,0.099212871,0.337037037,,
号86,0.207106781,14.32735434,48.49515534,0.100668063,0.340740741,,
号149,0.207106781,14.53446112,49.0222766,0.102123254,0.344444444,,
号140,0.207106781,14.7415679,49.54939785,0.103578445,0.348148148,,
号221,0.207106781,14.94867468,50.0765191,0.105033636,0.351851852,,
号176,0.207106781,15.15578146,50.60364036,0.106488827,0.355555556,,
号95,0.207106781,15.36288824,51.13076161,0.107944018,0.359259259,,
号122,0.207106781,15.56999502,51.65788286,0.109399209,0.362962963,,
号41,0.207106781,15.7771018,52.18500412,0.1108544,0.366666667,,
号113,0.207106781,15.98420859,52.71212537,0.112309591,0.37037037,,
号167,0.207106781,16.19131537,53.23924663,0.113764782,0.374074074,,
号50,0.207106781,16.39842215,53.76636788,0.115219973,0.377777778,,
号230,0.207106781,16.60552893,54.29348913,0.116675165,0.381481481,,
号185,0.207106781,16.81263571,54.82061039,0.118130356,0.385185185,,
号32,0.207106781,17.01974249,55.34773164,0.119585547,0.388888889,,
号104,0.207106781,17.22684927,55.87485289,0.121040738,0.392592593,,
