号ID,政紫亀,刊旋 政紫亀,液去 刊旋政紫亀,刊旋 政紫亀 搾晴,液去 刊旋政紫亀 搾晴,,走艦域呪
号19 ,2,2,2.1,0.005291005,0.005555556,,0.042620363
号20 ,2,4,4.2,0.010582011,0.011111111,,
号21 ,2,6,6.3,0.015873016,0.016666667,,
号22 ,2,8,8.4,0.021164021,0.022222222,,
号23 ,2,10,10.5,0.026455026,0.027777778,,
号24 ,2,12,12.6,0.031746032,0.033333333,,
号25 ,2,14,14.7,0.037037037,0.038888889,,
号26 ,2,16,16.8,0.042328042,0.044444444,,
号27 ,2,18,18.9,0.047619048,0.05,,
号28 ,2,20,21,0.052910053,0.055555556,,
号29 ,2,22,23.1,0.058201058,0.061111111,,
号30 ,2,24,25.2,0.063492063,0.066666667,,
号31 ,2,26,27.3,0.068783069,0.072222222,,
号32 ,2,28,29.4,0.074074074,0.077777778,,
号33 ,2,30,31.5,0.079365079,0.083333333,,
号34 ,2,32,33.6,0.084656085,0.088888889,,
号35 ,2,34,35.7,0.08994709,0.094444444,,
号36 ,2,36,37.8,0.095238095,0.1,,
号37 ,2,38,39.9,0.100529101,0.105555556,,
号38 ,2,40,42,0.105820106,0.111111111,,
号39 ,2,42,44.1,0.111111111,0.116666667,,
号40 ,2,44,46.2,0.116402116,0.122222222,,
号41 ,2,46,48.3,0.121693122,0.127777778,,
号42 ,2,48,50.4,0.126984127,0.133333333,,
号43 ,2,50,52.5,0.132275132,0.138888889,,
号44 ,2,52,54.6,0.137566138,0.144444444,,
号45 ,2,54,56.7,0.142857143,0.15,,
号46 ,2,56,58.8,0.148148148,0.155555556,,
号47 ,2,58,60.9,0.153439153,0.161111111,,
号48 ,2,60,63,0.158730159,0.166666667,,
号49 ,2,62,65.1,0.164021164,0.172222222,,
号50 ,2,64,67.2,0.169312169,0.177777778,,
号51 ,2,66,69.3,0.174603175,0.183333333,,
号52 ,2,68,71.4,0.17989418,0.188888889,,
号53 ,2,70,73.5,0.185185185,0.194444444,,
号54 ,2,72,75.6,0.19047619,0.2,,
号55 ,2,74,77.7,0.195767196,0.205555556,,
号56 ,2,76,79.8,0.201058201,0.211111111,,
号57 ,2,78,81.9,0.206349206,0.216666667,,
号58 ,2,80,84,0.211640212,0.222222222,,
号59 ,2,82,86.1,0.216931217,0.227777778,,
号60 ,2,84,88.2,0.222222222,0.233333333,,
号61 ,2,86,90.3,0.227513228,0.238888889,,
号62 ,2,88,92.4,0.232804233,0.244444444,,
号63 ,2,90,94.5,0.238095238,0.25,,
号64 ,2,92,96.6,0.243386243,0.255555556,,
号65 ,2,94,98.7,0.248677249,0.261111111,,
号66 ,2,96,100.8,0.253968254,0.266666667,,
号67 ,2,98,102.9,0.259259259,0.272222222,,
号68 ,2,100,105,0.264550265,0.277777778,,
号69 ,2,102,107.1,0.26984127,0.283333333,,
号70 ,2,104,109.2,0.275132275,0.288888889,,
号71 ,2,106,111.3,0.28042328,0.294444444,,
号72 ,2,108,113.4,0.285714286,0.3,,
号73 ,2,110,115.5,0.291005291,0.305555556,,
号74 ,2,112,117.6,0.296296296,0.311111111,,
号75 ,2,114,119.7,0.301587302,0.316666667,,
号76 ,2,116,121.8,0.306878307,0.322222222,,
号77 ,2,118,123.9,0.312169312,0.327777778,,
号78 ,2,120,126,0.317460317,0.333333333,,
号79 ,2,122,128.1,0.322751323,0.338888889,,
号80 ,2,124,130.2,0.328042328,0.344444444,,
号81 ,2,126,132.3,0.333333333,0.35,,
号82 ,2,128,134.4,0.338624339,0.355555556,,
号83 ,2,130,136.5,0.343915344,0.361111111,,
号84 ,2,132,138.6,0.349206349,0.366666667,,
号85 ,2,134,140.7,0.354497354,0.372222222,,
号86 ,2,136,142.8,0.35978836,0.377777778,,
号87 ,2,138,144.9,0.365079365,0.383333333,,
号88 ,2,140,147,0.37037037,0.388888889,,
号89 ,2,142,149.1,0.375661376,0.394444444,,
号90 ,2,144,151.2,0.380952381,0.4,,
号91 ,2,146,153.3,0.386243386,0.405555556,,
号92 ,2,148,155.4,0.391534392,0.411111111,,
号93 ,2,150,157.5,0.396825397,0.416666667,,
号94 ,2,152,159.6,0.402116402,0.422222222,,
号95 ,2,154,161.7,0.407407407,0.427777778,,
号96 ,2,156,163.8,0.412698413,0.433333333,,
号97 ,2,158,165.9,0.417989418,0.438888889,,
号98 ,2,160,168,0.423280423,0.444444444,,
号99 ,2,162,170.1,0.428571429,0.45,,
号100 ,2,164,172.2,0.433862434,0.455555556,,
号101 ,2,166,174.3,0.439153439,0.461111111,,
号102 ,2,168,176.4,0.444444444,0.466666667,,
号103 ,2,170,178.5,0.44973545,0.472222222,,
号104 ,2,172,180.6,0.455026455,0.477777778,,
号105 ,2,174,182.7,0.46031746,0.483333333,,
号106 ,2,176,184.8,0.465608466,0.488888889,,
号107 ,2,178,186.9,0.470899471,0.494444444,,
号108 ,2,180,189,0.476190476,0.5,,
号109 ,2,182,191.1,0.481481481,0.505555556,,
号110 ,2,184,193.2,0.486772487,0.511111111,,
号111 ,2,186,195.3,0.492063492,0.516666667,,
号112 ,2,188,197.4,0.497354497,0.522222222,,
号113 ,2,190,199.5,0.502645503,0.527777778,,
号114 ,2,192,201.6,0.507936508,0.533333333,,
号115 ,2,194,203.7,0.513227513,0.538888889,,
号116 ,2,196,205.8,0.518518519,0.544444444,,
号117 ,2,198,207.9,0.523809524,0.55,,
号118 ,2,200,210,0.529100529,0.555555556,,
号119 ,2,202,212.1,0.534391534,0.561111111,,
号120 ,2,204,214.2,0.53968254,0.566666667,,
号121 ,2,206,216.3,0.544973545,0.572222222,,
号122 ,2,208,218.4,0.55026455,0.577777778,,
号123 ,2,210,220.5,0.555555556,0.583333333,,
号124 ,2,212,222.6,0.560846561,0.588888889,,
号125 ,2,214,224.7,0.566137566,0.594444444,,
号126 ,2,216,226.8,0.571428571,0.6,,
号127 ,2,218,228.9,0.576719577,0.605555556,,
号128 ,2,220,231,0.582010582,0.611111111,,
号129 ,2,222,233.1,0.587301587,0.616666667,,
号130 ,2,224,235.2,0.592592593,0.622222222,,
号131 ,2,226,237.3,0.597883598,0.627777778,,
号132 ,2,228,239.4,0.603174603,0.633333333,,
